,순위,책이름,저자,줄거리
10,11,마녀식당으로 오세요,구상희,"▶ 메인 포스터 띠지, 스페셜 포스터 띠지 중 랜덤으로 제공됩니다.“어떤 소원을 주문하시겠어요?”송지효 남지현 채종협 주연, 티빙 오리지널 드라마 원작 소설제3회 교보문고 스토리공모전에서 대상을 수상하며 ‘한국형 현실 판타지’의 등장을 알린 장편소설 『마녀식당으로 오세요』가 개정판으로 출간됐다. 인생의 막다른 골목길에 다다른 이들이 소원을 이루어주는 요리를 파는 ‘마녀식당’을 만나 삶을 다시 꾸려나갈 동력을 얻는다는 이야기로, 티빙 오리지널 드라마로 제작되어 방영을 앞두고 있다. 작가의 첫 작품이라는 것이 믿기지 않을 정도로 탄탄한 구성과 빠른 속도감, 눅진하게 남는 결말의 여운이 일품인 이 소설은 장르의 문법을 현실에 자연스럽게 녹여내며 독자들의 뜨거운 호응을 받았다. 믿었던 사랑에게 배신당하고, 끈질긴 .."
11,12,순례 주택,유은실,"한국어린이도서상, IBBY 어너리스트 수상작가 유은실의 신작 청소년 소설『순례 주택』. 코믹 발랄한 캐릭터 설정과, 순례 주택을 둘러싼 한바탕 대소동은 기발하면서도 유쾌하다. 약간은 막 가는 수림이네 네 식구가 쫄딱 망한 뒤, 돌아가신 외할버지의 옛 여자친구의 빌라‘순례 주택’으로 이사 들어가면서 벌어지는 이야기이다. 솔직하지 못한 엄마, 누군가에게 얹혀사는 데 일가견 있는 아빠, 라면은 끓일 줄 모르고 컵라면에 물만 겨우 부을 줄 아는 고등학생 언니까지, 졸지에 망한 수림이네 가족은 평소 업신여기던 순례 주택으로 이사 오게 된다. “온실 밖으로 나와 세상에 적응하게끔” 훈련시켜 주려는 순례 씨의 원대한 계획이 시작된 것이다. 자기 힘으로 살아 보려고 애쓰는 순례 주택에 세 들어 사는 사람들 사이에서 수림이.."
12,13,주머니 속의 고래,이금이,"청소년 문학의 독보적 장르,이금이 작가의 〈주머니 속의 고래〉 개정판때론 방황해도 끝내는 반짝반짝 빛날 10대들의 마음을 섬세하게 다독인다!이 시대 최고의 어린이청소년문학가로 꼽히는 이금이 작가의 청소년소설 『주머니 속의 고래』 개정판이 출간되었다. 이금이 작가는 2004년에 첫 청소년소설 『유진과 유진』을 펴내면서 한국 청소년문학의 본격 시작을 알렸고, 이후 청소년들의 생생한 현실을 소재로 꾸준히 작품을 발표하면서 어린이 청소년 어른 독자 모두에게 사랑받는 작가로 자리매김했다.이번에 개정판으로 출간되는 『주머니 속의 고래』는 청소년들의 ‘꿈’에 관한 이야기다. 네 명의 16세 중학생을 중심으로 펼쳐지는 이 시대 아이들의 현실적인 고민을 생생하게 담아내어, 초판 출간 이후 중학교 교과서에 수록되어 지금까지 .."
13,14,두 번째 엔딩,"김려령, 배미주, 이현, 김중미, 손원평, 구병모, 이희영, 백온유","우리를 웃고 울게 했던 작품, 모두가 기다려 온 그 뒷이야기!빛나는 성장의 순간에 언제나 함께한 이름, 창비청소년문학 100권 기념 소설집『우아한 거짓말』부터 『아몬드』 『페인트』 『유원』까지, 독자들의 큰 사랑을 받은 작품들의 뒷이야기를 엮은 소설집 『두 번째 엔딩』이 창비청소년문학 100권으로 출간되었다. 시리즈 100권을 맞이해 그동안 받은 사랑에 보답하는 풍성한 기획이다. 창비청소년문학상 1회 수상자인 김려령 작가부터, 배미주 이현 김중미 손원평 구병모 이희영 백온유 등 시리즈를 대표하는 베스트셀러 작가들의 완성도 높은 단편이 실렸다. 이번 소설집은 전작에서 주인공이 아니었던 인물들의 속내까지 따스하게 보듬으며 모든 삶이 조명받아 마땅한 가치가 있다는 메시지를 전한다.동생을 잃은 언니의 아픈 마음을 .."
14,15,보통의 노을,이희영,"『페인트』 작가 이희영 신작18세 애늙은이 아들, 34세 철없는 엄마그들 사이에는 말하지 않는 진실이 있다!가족의 의미를 새롭게 살펴본 장편소설 『페인트』로 창비청소년문학상을 수상한 이희영 작가. 그가 이번에는 ‘보통의 의미’를 묻는 작품으로 돌아왔다. 『보통의 노을』은 평범한 삶을 꿈꾸지만 예기치 못한 일을 마주하고 흔들리는 열여덟 최노을의 이야기다. 노을은 작은 공방을 운영하는 엄마와 단둘이 살고 있다. 열일곱 살에 노을을 낳은 엄마는 가뜩이나 젊은 나이에 동안이기까지 하다. 그런 엄마를 5년 동안 바라봐 온 연하의 남자가 있는데 절친 성하의 오빠 성빈이다. 엄마는 처음에는 성빈을 완강히 밀어내지만 계속된 그의 기다림에 조금씩 마음을 연다.노을은 성빈이 미덥지 않다. 엄마가 사회생활을 막 시작한 어린 남.."
15,16,남매의 탄생,안세화,"전국의 중고등학생 청소년 100명이 직접 뽑은 문학상제1회 틴 스토리킹 수상작현대 사회의 논쟁적인 소재를 SF 소설 형식으로 담은 『기억 전달자』, 핵전쟁 이후의 지구를 그린 SF 스릴러 『최후의 Z』, 미래 사회의 인간복제를 그린 『파랑 피』, 실제 역사를 바탕으로 감동적인 우정을 그린 『줄무늬 파자마를 입은 소년』, 근미래의 디스토피아를 그린 『밀레니얼 칠드런』 등 국내외 다양한 작품을 소개하며 청소년 문학의 지평을 넓혀 온 비룡소가 청소년 문학에 또 한 번 새로운 바람을 일으키고자, 십 대 독자와 더 깊고 즐거운 호흡을 위해 새롭게 제정한 청소년 소설 문학상, 제1회 틴 스토리킹 수상작 『남매의 탄생』이 비룡소에서 출간되었다. 틴 스토리킹은 국내 최초로 어린이 심사위원 제도를 도입한 어린이 문학상 ‘스.."
16,17,조제와 호랑이와 물고기들,다나베 세이코,"아쿠타가와상 수상 작가 다나베 세이코 대표작빛나는 감각으로 그려낸 사랑과 연애의 본질‘내 인생 잊지 못할 사랑 영화 1위’이누도 잇신 감독 〈조제, 호랑이 그리고 물고기들〉 원작한국판 리메이크▶ 한지민·남주혁 주연, 김종관 감독 영화 〈조제〉 원작2020 부산국제영화제 폐막작▶ 일본 애니메이션 〈조제, 호랑이 그리고 물고기들〉 원작싸한 사랑의 기억, 이 시대 최고의 연애소설『조제와 호랑이와 물고기들』은 일본의 국민작가로 존경받는 아쿠타가와상 수상 작가 다나베 세이코가 ‘연애’를 테마로 쓴 단편소설집이다. 작가 다나베 세이코는 1963년 『감상여행』으로 아쿠타가와상을 수상하고 2000년 국가 문화공로자로 선정되기까지 소설과 에세이, 평전 등 240여 편에 달하는 작품을 펴냈으며, 특히 일본 2백만 부 베스트셀.."
17,18,세계를 건너 너에게 갈게,이꽃님,"*드라마 및 영화 제작 중*일본, 대만, 태국 판권 수출*2019 양주시 올해의 책 | 2019 안동시 올해의 책 | 2020 천안 올해의 책“어쩌면 우린 너무 많은 기적을 당연하게 여기면서 사는지도 모르겠어.”이꽃님 작가의 장편소설 『세계를 건너 너에게 갈게』 양장본 출간제8회 문학동네청소년문학상 대상을 받은 이꽃님 작가의 장편소설 『세계를 건너 너에게 갈게』가 양장본으로 출간됐다. ‘은유’라는 똑같은 이름을 가진 두 사람이 시공간을 초월해 편지를 주고받으며 펼쳐지는 이 이야기는 드라마와 영화로 제작 중이며, 현재 일본, 대만, 태국에 판권이 수출되었다. 얼굴이 부을 만큼 울었다, 수도꼭지처럼 눈물이 터졌다, 손수건을 준비할 것… 등 ‘눈물’이 언급되는 평이 압도적으로 많은 이 책은 청소년을 넘어 초등학생.."
18,19,유진과 유진,이금이,"여전히 “네 잘못이 아니야”가 중요한 이유ㅡ 출간 후 16년, 한국 청소년문학의 출발점이자 대표작으로서여전히 ‘상처를 모아 지은 날개’마저 꺾이곤 하는 청소년들에게새 얼굴, 달라진 시대감각으로 건네는 변함없는 공감과 위로지난 16년간 수십만 독자와 울고 웃으며 한국 청소년문학의 견인차 구실을 해온 『유진과 유진』의 개정판이 나왔다. 『유진과 유진』은 국내 청소년문학 태동기라 할 2004년에 본격적인 청소년소설을 표방하며 출간된 이금이 작가의 장편소설이다. 우리 청소년의 ‘지금 여기’를 그들의 시선과 목소리로 담아낸 소설로도 첫발에 해당하는 이 작품은 청소년뿐 아니라 어린이와 어른까지 전 세대의 사랑을 꾸준히 받으며 ‘레전드 스테디셀러’로 자리매김했다.『유진과 유진』은 이 시대 최고의 어린이청소년문학가로 꼽히.."
19,20,행운이 너에게 다가오는중,이꽃님,"제8회 문학동네청소년문학상 대상 수상작 『세계를 건너 너에게 갈게』의 이꽃님 작가가 그리는 또 하나의 기적내가 너의 행운이 될 수 있을까?인생을 지독하게 만드는 것은 인간이지만, 그 인생에 손을 내미는 것 또한 언제나 인간이니까. 베스트셀러 『세계를 건너 너에게 갈게』의 이꽃님 작가가 2년 반 만에 새 청소년소설로 돌아왔다. 제8회 문학동네청소년문학상 대상을 받은 『세계를 건너 너에게 갈게』는 심사위원을 비롯해 수많은 독자들을 울렸으며, 지금도 많은 청소년들에게 ‘인생 책’으로 꼽히며 입소문을 더해 가고 있다. 대만에서 출간된 데 이어 최근에는 일본 출간이 확정되고 드라마와 영화로도 준비 중인 흡입력 있는 이야기이다.신작 『행운이 너에게 다가오는 중』은 가장 따뜻해야 할 집이라는 공간에서 폭력을 맞닥뜨릴 수.."
20,21,죽은 이들의 뼈 위로 쟁기를 끌어라,올가 토카르추크,"2018년 노벨 문학상 수상 작가인 올가 토카르추크가 《방랑자들》을 발표한 지 일 년 만에 내놓은 범죄 스릴러 『죽은 이들의 뼈 위로 쟁기를 끌어라』가 민음사에서 출간되었다. 일명 ‘별자리 소설’로서 곱씹어 읽어야 비로소 촘촘히 배치된 연결 고리가 보이는 《방랑자들》과는 달리, 이 작품은 처음부터 끝까지 긴장감을 유지하며 단숨에 읽힌다."
21,22,보건교사 안은영,정세랑,본격 학원 명랑 미스터리 소설출간 5주년 & 영상화 기념 리커버 특별판 출간!2015년 12월에 출간되어 꾸준한 사랑을 받아 온 『보건교사 안은영』이 출간 5주년과 작품 영상화를 기념하여 ‘리커버 특별판’으로 출간되었다. 2010년 단편소설에서 탄생한 ‘안은영’이 ‘넷플릭스 오리지널 시리즈’의 히어로가 되기까지의 소회가 담긴 작가의 편지로부터 책은 시작한다. 그 시간 동안 안은영이 자신에게 좋은 친구가 되어 주었다는 정세랑의 고백은 아마 많은 독자에게도 마찬가지일 것이다. 그 친구가 오랜만에 새 옷을 입었다. 일러스트레이터 ‘람한’의 작업으로 새로 탄생한 표지 디자인은 소설의 세계관을 충실히 반영하는 동시에 유니크한 색감과 구성으로 독자들의 소장 욕구를 자극한다. 또한 책의 뒤편에 자리한 다섯 편의 추천사는..
22,23,진짜 진짜 얼굴을 찾아서,조용,"〈사이코지만 괜찮아〉 속 동화들을 책으로 만나다!서로 다른 세 사람이 만나 상처를 보듬고 치유해 가는 조금은 이상한 로맨틱 코미디 〈사이코지만 괜찮아〉. 드라마 속 사랑을 모르는 유명 동화 작가 문영이 쓴 동화들을 책으로 만나는 ‘사이코지만 괜찮아 특별 동화’ 시리즈가 위즈덤하우스에서 출간된다. 대본을 맡은 조용 작가와 일러스트를 그린 잠산 작가가 직접 참여하여 여운과 감동을 그대로 담아냈으며, 극 중 문영의 친필 사인 인쇄본으로 소장 가치를 더한다."
23,24,살인자의 기억법,김영하,"김영하 등단 25주년을 맞이해 새롭게 선보이는 '복복서가 김영하 소설'의 네번째 작품으로 <살인자의 기억법>을 출간한다. 김영하의 일곱번째 장편소설인 <살인자의 기억법>은 2013년 문학동네에서 초판이 출간된 이래로 지금까지 56쇄를 중쇄하며 많은 사랑을 받아왔으며, 2020년 독일에서 '최고의 추리소설' 1위에 선정되기도 하는 등 많은 나라에서 호평을 받고 있다. 알츠하이머에 걸려 희미해지는 기억과 사투를 벌이는 연쇄살인범 김병수는 기억을 붙잡기 위해 자신의 일거수일투족을 녹음하고, 매일의 일과를 일기로 기록한다. 소설은 이 주인공이 일지 형식으로 쓰는 짧은 글들의 연쇄로 이루어진다. 패러독스와 위트가 넘치는 문장들 속에 감추어진 진의를 찾아가는 독서 경험은 한 편 한 편의 시를 읽는.."
24,25,사랑 광기 그리고 죽음의 이야기,오라시오 키로가,"〈셰이프 오브 워터〉 영화감독 기예르모 델 토로가 사랑하는 작가!라틴아메리카 환상문학의 선구자 오라시오 키로가의 대표작근대 단편소설의 거장이자 라틴아메리카 환상문학의 선구자로 손꼽히는 오라시오 키로가의 대표작 『사랑 광기 그리고 죽음의 이야기』가 문학동네 세계문학전집 190번으로 출간된다. 문학동네 세계문학전집에서 처음으로 소개되는 우루과이 작가다. 중남미 환상문학의 기틀을 마련한 작품이라 평가받는 「깃털 베개」와 「목 잘린 닭」을 비롯해 총 열여덟 편의 작품이 담겨 있으며, 앞의 두 작품과 「멘수들」을 뺀 나머지 열다섯 편은 국내에 최초로 선보이는 작품들이다. 1917년 출간된 이 소설집은 ‘사랑’ ‘광기’ ‘죽음’이라는 세 가지 주제를 통해 삶의 불분명한 표면 아래 숨어 있는 진실, 재현 불가능한 미지의.."
25,26,"손, 아귀",조용,"〈사이코지만 괜찮아〉 속 동화들을 책으로 만나다!서로 다른 세 사람이 만나 상처를 보듬고 치유해 가는 조금은 이상한 로맨틱 코미디 〈사이코지만 괜찮아〉. 드라마 속 사랑을 모르는 유명 동화 작가 문영이 쓴 동화들을 책으로 만나는 ‘사이코지만 괜찮아 특별 동화’ 시리즈가 위즈덤하우스에서 출간된다. 대본을 맡은 조용 작가와 일러스트를 그린 잠산 작가가 직접 참여하여 여운과 감동을 그대로 담아냈으며, 극 중 문영의 친필 사인 인쇄본으로 소장 가치를 더한다."
26,27,봄날의 개,조용,"“나는 너무 오래 묶여 있어서목줄 끊는 법을 잊어버렸어….”- 화제의 드라마 〈사이코지만 괜찮아〉에 등장하는 동화들을 책으로 만나다!- 조용 작가·잠산 일러스트레이터가 참여한 ‘사이코지만 괜찮아 특별 동화 시리즈’ 제3권- 극 중 고문영 작가 친필 사인 인쇄 수록드라마 〈사이코지만 괜찮아〉 속 동화들을 책으로 만날 수 있는 ‘사이코지만 괜찮아 특별 동화 시리즈’가 위즈덤하우스에서 출간된다. 남들과 ‘조금 다른’ 세 사람이 만나 서로의 상처를 보듬고 치유해 가는 조금은 이상한 로맨틱 코미디 〈사이코지만 괜찮아〉는 〈질투의 화신〉 〈남자친구〉 박신우 감독과 〈저글러스〉 조용 작가가 참여하여 연일 화제 속에서 방영되고 있다.사랑을 거부하는 정신병동 보호사 강태와 사랑을 모르는 유명 동화 작가 문영, 문영의 열성 .."
27,28,곰의 부탁,진형민,"| 배달 노동자, 성소수자, 여성, 난민……| 교차하는 경계 위에 선 아이들 | 그 곁을 지키는 작가 진형민의 첫 청소년소설집2012년 창비 좋은어린이책 대상을 받은 이래 출간하는 동화마다 큰 사랑을 받아 온 작가 진형민이 청소년 독자를 위해 펴내는 첫 번째 책이다. 간혹 웹진이나 앤솔러지에서 그의 청소년소설을 만나 본 독자들이라면 손꼽아 기다려 왔을 소식이다. 총 일곱 편의 작품을 모은 이번 책은 독자들의 오랜 기대에 충실히 부응한다. 『곰의 부탁』 속 인물들은 모두 청소년이지만, ‘청소년’이라는 이름으로 뭉뚱그려 지칭되곤 하는 집단으로 획일화될 수 없다. 작가가 오랫동안 그 곁을 지키며 마음속에 층층이 축적해 온 한 명 한 명의 아이들 모습이 녹아 있기에, 이야기 속 아이들의 삶 하나하나가 고유하다. 경.."
28,29,악몽을 먹고 자란 소년,조용,〈사이코지만 괜찮아〉 속 동화들을 책으로 만나다!서로 다른 세 사람이 만나 상처를 보듬고 치유해 가는 조금은 이상한 로맨틱 코미디 〈사이코지만 괜찮아〉. 드라마 속 사랑을 모르는 유명 동화 작가 문영이 쓰고 그린 동화들을 책으로 만나는 ‘사이코지만 괜찮아 특별 동화’ 시리즈가 위즈덤하우스에서 출간된다. 대본을 맡은 조용 작가와 일러스트를 그린 잠산 작가가 직접 참여하여 드라마 속 여운과 감동을 그대로 담아냈다.
29,30,좀비 아이,조용,"〈사이코지만 괜찮아〉 속 동화들을 책으로 만나다!서로 다른 세 사람이 만나 상처를 보듬고 치유해 가는 조금은 이상한 로맨틱 코미디 〈사이코지만 괜찮아〉. 드라마 속 사랑을 모르는 유명 동화 작가 문영이 쓰고 그린 동화들을 책으로 만나는 ‘사이코지만 괜찮아 특별 동화’ 시리즈가 위즈덤하우스에서 출간된다. 대본을 맡은 조용 작가와 일러스트를 그린 잠산 작가가 직접 참여하여 여운과 감동을 그대로 담아냈으며, 극 중 문영의 친필 사인 인쇄본으로 소장 가치를 더한다."
30,31,상견니,"지엔치펑, 린신훼이, Di Fer, 싼펑제작, 폭스네트워크그룹","“가가연, 허광한, 시백우 주연, 2020년 대만 최고의 화제작 드라마 소설”“대만 OTT 플랫폼 누적 클릭수 - 3천만회 ,  중국 텐센트 클릭수 - 7억회, 전 세계 OTT 플랫폼 클릭수 8억 회”죽은 남자친구 왕취안성에 대한 그리움을 떨치지 못한 황위쉬안은 이 세계의 또 다른 자신을 찾아주는 App으로 결국 그와 비슷한 남자를 찾아낸다. 하지만 이 20년 전에 찍힌 사진 속에서 황위쉬안은 자신과 같은 얼굴을 한 여자를 함께 발견한다. 그녀는 누구일까? 확신에 찬 미소를 가득 띄우며 고백하던 왕취안성을 황위쉬안은 똑똑히 기억하고 있었다. “처음 봤을 때부터였어. 널 좋아해.”그 당시 영혼을 울리던 강렬한 설렘과 두근거림이 한 순간에 의혹으로 전락해버렸다. 왕취안성이 사랑한 상대는 황위쉬안일까? 아니면 사.."
31,32,귤의 맛,조남주,"우리 모두가 지나온 초록의 시간버겁고 외롭지만 함께라서 가능했던 그날의 이야기들《82년생 김지영》으로 차이와 차별의 담론을 폭발적으로 확장시키며 사회적 반향을 불러일으킨 조남주 작가의 장편소설『귤의 맛』. 한 개인에게서 공감의 서사를 예민하게 끌어내는 저자가 이번엔 미열과 고열을 오가며 초록의 시간을 지나는 한 알 한 알의 존재에게 시선을 맞춘다. 숱한 햇볕과 바람을 들이고 맞으며 맛과 향을 채워 나가는 귤 같은 너와 나의 이야기. 사춘기나 과도기로 명명되는 시기를 쉽게 규정하지 않고, “어차피 지나갈 일, 별것 아닌 일, 누구나 겪는 과정으로 폄하하지 않고 그 자체의 무게와 의미로 바라보고 싶어 한” 작가의 다정한 응시가 담겨 있다.영화 동아리에서 만난 소란, 다윤, 해인, 은지는 ‘맨날 붙어 다니는 네 .."
